ID,Name,HP,ATK,DEF,SP.ATK,SP.DEF,SPEED,TYPE1,TYPE2
001,Bulbasaur,45,49,49,65,65,45,Grass,Poison
002,Ivysaur,60,62,63,80,80,60,Grass,Poison
003,Venusaur,80,82,83,100,100,80,Grass,Poison
004,Charmander,39,52,43,60,50,65,Fire,None
005,Charmeleon,58,64,58,80,65,80,Fire,None
006,Charizard,78,84,78,109,85,100,Fire,Flying
007,Squirtle,44,48,65,50,64,43,Water,None
008,Wartortle,59,63,80,65,80,58,Water,None
009,Blastoise,79,83,100,85,105,78,Water,None
010,Caterpie,45,30,35,20,20,45,Bug,None
011,Metapod,50,20,55,25,25,30,Bug,None
012,Butterfree,60,45,50,90,80,70,Bug,Flying
013,Weedle,40,35,30,20,20,50,Bug,Poison
014,Kakuna,45,25,50,25,25,35,Bug,Poison
015,Beedrill,65,90,40,45,80,75,Bug,Poison
016,Pidgey,40,45,40,35,35,56,Normal,Flying
017,Pidgeotto,63,60,55,50,50,71,Normal,Flying
018,Pidgeot,83,80,75,70,70,101,Normal,Flying
019,Rattata,30,56,35,25,35,72,Normal,None
020,Raticate,55,81,60,50,70,97,Normal,None
021,Spearow,40,60,30,31,31,70,Normal,Flying
022,Fearow,65,90,65,61,61,100,Normal,Flying
023,Ekans,35,60,44,40,54,55,Poison,None
024,Arbok,60,95,69,65,79,80,Poison,None
025,Pikachu,35,55,40,50,50,90,Electric,None
026,Raichu,60,90,55,90,80,110,Electric,None
027,Sandshrew,50,75,85,20,30,40,Ground,None
028,Sandslash,75,100,110,45,55,65,Ground,None
029,Nidoran♀,55,47,52,40,40,41,Poison,None
030,Nidorina,70,62,67,55,55,56,Poison,None
031,Nidoqueen,90,92,87,75,85,76,Poison,Ground
032,Nidoran♂,46,57,40,40,40,50,Poison,None
033,Nidorino,61,72,57,55,55,65,Poison,None
034,Nidoking,81,102,77,85,75,85,Poison,Ground
035,Clefairy,70,45,48,60,65,35,Fairy,None
036,Clefable,95,70,73,95,90,60,Fairy,None
037,Vulpix,38,41,40,50,65,65,Fire,None
038,Ninetales,73,76,75,81,100,100,Fire,None
039,Jigglypuff,115,45,20,45,25,20,Normal,Fairy
040,Wigglytuff,140,70,45,85,50,45,Normal,Fairy
041,Zubat,40,45,35,30,40,55,Poison,Flying
042,Golbat,75,80,70,65,75,90,Poison,Flying
043,Oddish,45,50,55,75,65,30,Grass,Poison
044,Gloom,60,65,70,85,75,40,Grass,Poison
045,Vileplume,75,80,85,110,90,50,Grass,Poison
046,Paras,35,70,55,45,55,25,Bug,Grass
047,Parasect,60,95,80,60,80,30,Bug,Grass
048,Venonat,60,55,50,40,55,45,Bug,Poison
049,Venomoth,70,65,60,90,75,90,Bug,Poison
050,Diglett,10,55,25,35,45,95,Ground,None
051,Dugtrio,35,100,50,50,70,120,Ground,None
052,Meowth,40,45,35,40,40,90,Normal,None
053,Persian,65,70,60,65,65,115,Normal,None
054,Psyduck,50,52,48,65,50,55,Water,None
055,Golduck,80,82,78,95,80,85,Water,None
056,Mankey,40,80,35,35,45,70,Fighting,None
057,Primeape,65,105,60,60,70,95,Fighting,None
058,Growlithe,55,70,45,70,50,60,Fire,None
059,Arcanine,90,110,80,100,80,95,Fire,None
060,Poliwag,40,50,40,40,40,90,Water,None
061,Poliwhirl,65,65,65,50,50,90,Water,None
062,Poliwrath,90,95,95,70,90,70,Water,Fighting
063,Abra,25,20,15,105,55,90,Psychic,None
064,Kadabra,40,35,30,120,70,105,Psychic,None
065,Alakazam,55,50,45,135,95,120,Psychic,None
066,Machop,70,80,50,35,35,35,Fighting,None
067,Machoke,80,100,70,50,60,45,Fighting,None
068,Machamp,90,130,80,65,85,55,Fighting,None
069,Bellsprout,50,75,35,70,30,40,Grass,Poison
070,Weepinbell,65,90,50,85,45,55,Grass,Poison
071,Victreebel,80,105,65,100,70,70,Grass,Poison
072,Tentacool,40,40,35,50,100,70,Water,Poison
073,Tentacruel,80,70,65,80,120,100,Water,Poison
074,Geodude,40,80,100,30,30,20,Rock,Ground
075,Graveler,55,95,115,45,45,35,Rock,Ground
076,Golem,80,120,130,55,65,45,Rock,Ground
077,Ponyta,50,85,55,65,65,90,Fire,None
078,Rapidash,65,100,70,80,80,105,Fire,None
079,Slowpoke,90,65,65,40,40,15,Water,Psychic
080,Slowbro,95,75,110,100,80,30,Water,Psychic
081,Magnemite,25,35,70,95,55,45,Electric,Steel
082,Magneton,50,60,95,120,70,70,Electric,Steel
083,Farfetch'd,52,90,55,58,62,60,Normal,Flying
084,Doduo,35,85,45,35,35,75,Normal,Flying
085,Dodrio,60,110,70,60,60,110,Normal,Flying
086,Seel,65,45,55,45,70,45,Water,None
087,Dewgong,90,70,80,70,95,70,Water,Ice
088,Grimer,80,80,50,40,50,25,Poison,None
089,Muk,105,105,75,65,100,50,Poison,None
090,Shellder,30,65,100,45,25,40,Water,None
091,Cloyster,50,95,180,85,45,70,Water,Ice
092,Gastly,30,35,30,100,35,80,Ghost,Poison
093,Haunter,45,50,45,115,55,95,Ghost,Poison
094,Gengar,60,65,60,130,75,110,Ghost,Poison
095,Onix,35,45,160,30,45,70,Rock,Ground
096,Drowzee,60,48,45,43,90,42,Psychic,None
097,Hypno,85,73,70,73,115,67,Psychic,None
098,Krabby,30,105,90,25,25,50,Water,None
099,Kingler,55,130,115,50,50,75,Water,None
100,Voltorb,40,30,50,55,55,100,Electric,None
101,Electrode,60,50,70,80,80,150,Electric,None
102,Exeggcute,60,40,80,60,45,40,Grass,Psychic
103,Exeggutor,95,95,85,125,75,55,Grass,Psychic
104,Cubone,50,50,95,40,50,35,Ground,None
105,Marowak,60,80,110,50,80,45,Ground,None
106,Hitmonlee,50,120,53,35,110,87,Fighting,None
107,Hitmonchan,50,105,79,35,110,76,Fighting,None
108,Lickitung,90,55,75,60,75,30,Normal,None
109,Koffing,40,65,95,60,45,35,Poison,None
110,Weezing,65,90,120,85,70,60,Poison,None
111,Rhyhorn,80,85,95,30,30,25,Ground,Rock
112,Rhydon,105,130,120,45,45,40,Ground,Rock
113,Chansey,250,5,5,35,105,50,Normal,None
114,Tangela,65,55,115,100,40,60,Grass,None
115,Kangaskhan,105,95,80,40,80,90,Normal,None
116,Horsea,30,40,70,70,25,60,Water,None
117,Seadra,55,65,95,95,45,85,Water,None
118,Goldeen,45,67,60,35,50,63,Water,None
119,Seaking,80,92,65,65,80,68,Water,None
120,Staryu,30,45,55,70,55,85,Water,None
121,Starmie,60,75,85,100,85,115,Water,Psychic
122,Mr. Mime,40,45,65,100,120,90,Psychic,Fairy
123,Scyther,70,110,80,55,80,105,Bug,Flying
124,Jynx,65,50,35,115,95,95,Ice,Psychic
125,Electabuzz,65,83,57,95,85,105,Electric,None
126,Magmar,65,95,57,100,85,93,Fire,None
127,Pinsir,65,125,100,55,70,85,Bug,None
128,Tauros,75,100,95,40,70,110,Normal,None
129,Magikarp,20,10,55,15,20,80,Water,None
130,Gyarados,95,125,79,60,100,81,Water,Flying
131,Lapras,130,85,80,85,95,60,Water,Ice
132,Ditto,48,48,48,48,48,48,Normal,None
133,Eevee,55,55,50,45,65,55,Normal,None
134,Vaporeon,130,65,60,110,95,65,Water,None
135,Jolteon,65,65,60,110,95,130,Electric,None
136,Flareon,65,130,60,95,110,65,Fire,None
137,Porygon,65,60,70,85,75,40,Normal,None
138,Omanyte,35,40,100,90,55,35,Rock,Water
139,Omastar,70,60,125,115,70,55,Rock,Water
140,Kabuto,30,80,90,55,45,55,Rock,Water
141,Kabutops,60,115,105,65,70,80,Rock,Water
142,Aerodactyl,80,105,65,60,75,130,Rock,Flying
143,Snorlax,160,110,65,65,110,30,Normal,None
144,Articuno,90,85,100,95,125,85,Ice,Flying
145,Zapdos,90,90,85,125,90,100,Electric,Flying
146,Moltres,90,100,90,125,85,90,Fire,Flying
147,Dratini,41,64,45,50,50,50,Dragon,None
148,Dragonair,61,84,65,70,70,70,Dragon,None
149,Dragonite,91,134,95,100,100,80,Dragon,Flying
150,Mewtwo,106,110,90,154,90,130,Psychic,None
151,Mew,100,100,100,100,100,100,Psychic,None
152,Chikorita,45,49,65,49,65,45,Grass,None
153,Bayleef,60,62,80,63,80,60,Grass,None
154,Meganium,80,82,100,83,100,80,Grass,None
155,Cyndaquil,39,52,43,60,50,65,Fire,None
156,Quilava,58,64,58,80,65,80,Fire,None
157,Typhlosion,78,84,78,109,85,100,Fire,None
158,Totodile,50,65,64,44,48,43,Water,None
159,Croconaw,65,80,80,59,63,58,Water,None
160,Feraligatr,85,105,100,79,83,78,Water,None
161,Sentret,35,46,34,35,45,20,Normal,None
162,Furret,85,76,64,45,55,90,Normal,None
163,Hoothoot,60,30,30,36,56,50,Normal,Flying
164,Noctowl,100,50,50,86,96,70,Normal,Flying
165,Ledyba,40,20,30,40,80,55,Bug,Flying
166,Ledian,55,35,50,55,110,85,Bug,Flying
167,Spinarak,40,60,40,40,40,30,Bug,Poison
168,Ariados,70,90,70,60,70,40,Bug,Poison
169,Crobat,85,90,80,70,80,130,Poison,Flying
170,Chinchou,75,38,38,56,56,67,Water,Electric
171,Lanturn,125,58,58,76,76,67,Water,Electric
172,Pichu,20,40,15,35,35,60,Electric,None
173,Cleffa,50,25,28,45,55,15,Fairy,None
174,Igglybuff,90,30,15,40,20,15,Normal,Fairy
175,Togepi,35,20,65,40,65,20,Fairy,None
176,Togetic,55,40,85,80,105,40,Fairy,Flying
177,Natu,40,50,45,70,45,70,Psychic,Flying
178,Xatu,65,75,70,95,70,95,Psychic,Flying
179,Mareep,55,40,40,65,45,35,Electric,None
180,Flaaffy,70,55,55,80,60,45,Electric,None
181,Ampharos,90,75,85,115,90,55,Electric,None
182,Bellossom,75,80,95,90,100,50,Grass,None
183,Marill,70,20,50,20,50,40,Water,Fairy
184,Azumarill,100,50,80,60,80,50,Water,Fairy
185,Sudowoodo,70,100,115,30,65,30,Rock,None
186,Politoed,90,75,75,90,100,70,Water,None
187,Hoppip,35,35,40,35,55,50,Grass,Flying
188,Skiploom,55,45,50,45,65,80,Grass,Flying
189,Jumpluff,75,55,70,55,95,110,Grass,Flying
190,Aipom,55,70,55,40,55,85,Normal,None
191,Sunkern,30,30,30,30,30,30,Grass,None
192,Sunflora,75,75,55,105,85,30,Grass,None
193,Yanma,65,65,45,75,45,95,Bug,Flying
194,Wooper,55,45,45,25,25,15,Water,Ground
195,Quagsire,95,85,85,65,65,35,Water,Ground
196,Espeon,65,65,60,130,95,110,Psychic,None
197,Umbreon,95,65,110,60,130,65,Dark,None
198,Murkrow,60,85,42,85,42,91,Dark,Flying
199,Slowking,95,75,80,100,110,30,Water,Psychic
200,Misdreavus,60,60,60,85,85,85,Ghost,None
201,Unown,48,72,48,72,48,48,Psychic,None
202,Wobbuffet,190,33,58,33,58,33,Psychic,None
203,Girafarig,70,80,65,90,65,85,Normal,Psychic
204,Pineco,50,65,90,35,35,15,Bug,None
205,Forretress,75,90,140,60,60,40,Bug,Steel
206,Dunsparce,100,70,70,65,65,45,Normal,None
207,Gligar,65,75,105,35,65,85,Ground,Flying
208,Steelix,75,85,200,55,65,30,Steel,Ground
209,Snubbull,60,80,50,40,40,30,Fairy,None
210,Granbull,90,120,75,60,60,45,Fairy,None
211,Qwilfish,65,95,85,55,55,85,Water,Poison
212,Scizor,70,130,100,55,80,65,Bug,Steel
213,Shuckle,20,10,230,10,230,5,Bug,Rock
214,Heracross,80,125,75,40,95,85,Bug,Fighting
215,Sneasel,55,95,55,35,75,115,Dark,Ice
